Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Panorama 2;;;-0.231550592;5.177706646;estufas_pano;;
Panorama 3;;;-0.150677712;5.071900963;irrigacao_pano;;
Prédio Principal;;;-0.000257297;0.531871168;predio_principal_pano;;
Avicultura;O setor de avicultura da EPAMIG ITAP contribui para a formação técnica de estudantes, profissionais e produtores da cadeia avícola, promovendo inovação, práticas pedagógicas e experimentações voltadas à produção de ovos. Foca em desempenho zootécnico, sanidade, bem-estar animal e sustentabilidade. Em fase de reestruturação, contará com infraestrutura para comparar sistemas de criação: convencional em gaiolas, cage free e free range. Isso permitirá estudos aplicados sobre nutrição, ambiência, comportamento, qualidade dos ovos e biosseguridade. Além da pesquisa, o setor realiza capacitações e difusão de tecnologias, reforçando seu compromisso com boas práticas, inovação e sustentabilidade na avicultura.;;-0.234031603;6.244221877;aviario_pano;;
Unidade de Ensino e Pesquisa em Mecanização Agrícola;A unidade possui uma área total de aproximadamente 3,045 hectares, que inclui um galpão de 1500m² (em construção). O galpão abriga: sala de aula, laboratório de desenvolvimento, sala de vivência, garagem, sala de mecânica e sala de lavagens. Nesta unidade, são ministradas aulas teóricas e práticas da disciplina de Agricultura Digital aplicada a Máquinas Agrícolas, além de serem desenvolvidas pesquisas e atividades de extensão.;trator1.jpg, trator2.jpg, trator3.jpg, pulverizador.png, implemento1.jpg, implemento2.jpg, implemento3.jpg, implemento4.png, implemento5.png, implemento6.png, implemento8.png, mecanizacao.mp4;-0.655201758;3.672617632;;polygons/mec_bov.json;listrado-azul
Culturas Anuais;O setor de Culturas Anuais conta com uma área de aproximadamente 5 hectares, destinada ao ensino e à pesquisa, onde são realizadas atividades práticas voltadas às culturas de soja, feijão, milho, sorgo, arroz, trigo e algodão. O espaço também oferece a possibilidade de implantação de campos demonstrativos para cursos de capacitação e para o desenvolvimento de pesquisas em condições de campo.;;-0.360532694;4.604874142;;polygons/culturas_anuais_bov.json;listrado-tracejado-amarelo
Bloco didático;Composto por salas de aula e laboratórios modernos, o bloco possui janelas e áreas com vista direta para diversos sistemas de produção, como confinamento de gado de corte, compost barn, free stall, sala de ordenha, piquetes de pastagens, currais de manejo e bezerreiro. Essa configuração permite que os alunos e pesquisadores relacionem o conteúdo teórico apresentado em sala com as práticas reais da produção animal, facilitando a compreensão e o aprendizado aplicado. A estrutura é projetada de maneira funcional, com ambientes confortáveis, ventilados e bem iluminados, garantindo um espaço adequado para o desenvolvimento das atividades acadêmicas e técnicas.;;-1.0744;2.7027;;;
Sala de ordenha;Em fase de Implantação. A sala de ordenha é uma instalação importante para a bovinocultura leiteira e está sendo implantada na EPAMIG ITAP com foco nas atividades integradas de ensino, pesquisa e extensão. Esse espaço será utilizado como ambiente didático para capacitação de estudantes, técnicos e produtores, permitindo a vivência prática de rotinas de manejo, controle sanitário e qualidade do leite. A estrutura conta com uma sala própria para o resfriamento do leite, garantindo a conservação da qualidade do produto logo após a ordenha, além de um laboratório destinado a análises microbiológicas e físico-químicas, fundamentais para o monitoramento da sanidade e da composição do leite. Dispõe também de uma farmácia para armazenamento e administração de medicamentos veterinários e de currais de espera climatizados, que asseguram o conforto térmico dos animais antes do processo de ordenha. Toda a instalação foi planejada de forma funcional, com espaços organizados e equipamentos adequados, promovendo eficiência, higiene e bem-estar animal, ao mesmo tempo em que serve como suporte para o desenvolvimento de pesquisas aplicadas e ações de transferência de tecnologia para o setor leiteiro.;;-0.9312;2.7238;;;
Bezerreiro;Em fase de Implantação. O bezerreiro é uma estrutura importante para a bovinocultura, especialmente voltada à cadeia leiteira, e está sendo implantado na EPAMIG ITAP com o objetivo de fortalecer as ações de ensino, pesquisa e extensão. A instalação conta com gaiolas individuais, onde os bezerros permanecem durante os primeiros 15 dias para garantir cuidados específicos e controle sanitário rigoroso. Após esse período, os animais são transferidos para piquetes coletivos, com acesso a área de forragem de qualidade, que proporcionam espaço adequado para o convívio social e o desenvolvimento saudável. O bezerreiro conta ainda com um laboratório anexo, onde se encontra uma farmácia especifica para os bezerros e estrutura adequada para o armazenamento e análise da qualidade do colostro, assegurando um alimento inicial seguro e de alto valor imunológico. Toda a estrutura foi projetada de forma funcional, com áreas cobertas, boa ventilação e conforto térmico, contribuindo para o bem-estar e o crescimento saudável dos bezerros, além de servir como um espaço didático para capacitação técnica e transferência de conhecimento aos produtores e profissionais do setor.;;-0.6915;2.7887;;;
Fábrica de ração;Em fase de Implantação. A Unidade de Suplementação e Nutrição Animal é composta por um conjunto de instalações estratégicas para os setores de bovinocultura, avicultura e suinocultura. Essa unidade atuará como suporte essencial às atividades de ensino, pesquisa e extensão, permitindo a formulação, produção e avaliação de rações balanceadas destinadas a diferentes categorias de animais. Sua estrutura física é composta por uma sala administrativa, um galpão com silos de armazenagem, moega de recepção, equipamentos para moagem, mistura e ensacamento, além de uma linha exclusiva para a fabricação de rações destinadas a aves e suínos, separada da linha principal de produção para bovinos. Essa infraestrutura possibilita o desenvolvimento de estudos sobre nutrição animal, eficiência alimentar e qualidade dos ingredientes, ao mesmo tempo em que serve como ambiente de aprendizado prático para estudantes e técnicos. Na extensão rural, a fábrica contribui para a capacitação de produtores e a difusão de tecnologias nutricionais, promovendo o uso racional de recursos e o aumento da produtividade de forma sustentável.;fabrica_racao.png;-0.4885;3.1765;;;
Confinamento (gado de corte);Em fase de Implantação. O confinamento de bovinos de corte é uma instalação que apoia as atividades de ensino, pesquisa e extensão voltadas à recria e terminação intensiva de bovinos de corte. Sua estrutura física é composta por currais com divisórias, cochos para alimentação, bebedouros, área de manejo e um corredor central que facilita a distribuição dos alimentos e a movimentação dos animais. Esse ambiente permite a realização de estudos sobre nutrição, fisiologia animal, desempenho zootécnico, comportamento animal e estratégias de terminação, além de ser um espaço didático onde alunos e técnicos aprendem na prática os princípios de recria e terminação em regime de confinado. Também cumpre um papel importante na extensão rural, servindo como modelo de sistema intensivo para demonstrações e capacitações junto a produtores, incentivando a adoção de práticas mais eficientes e sustentáveis na pecuária de corte.;confinamento.mp4;-1.2115;3.6528;;;
Free-stall;Em fase de Implantação. O sistema free stall constitui uma estrutura para o desenvolvimento de atividades integradas de ensino, pesquisa e extensão voltadas à pecuária leiteira. Sua estrutura física é composta por uma área coberta com divisórias individuais para descanso dos animais (cama), piso de concreto, corredores para circulação, cochos de alimentação, bebedouros e sistema de ventilação e resfriamento, proporcionando conforto, higiene e organização no alojamento das vacas. Essa infraestrutura permite a condução de experimentos relacionados à ambiência, manejo alimentar, produção e qualidade do leite, além de servir como ambiente de aprendizagem prática para estudantes e técnicos em formação. Sua importância também se reflete na extensão rural, ao proporcionar um modelo funcional e tecnificado que pode ser demonstrado e adaptado às realidades de diferentes produtores, incentivando a adoção de práticas mais eficientes e sustentáveis no setor leiteiro.;freestall.mp4;-0.8621;3.2384;;;
Compost barn;Em fase de Implantação. O compost barn representa uma estrutura moderna e estratégica que contribui significativamente para as atividades de ensino, pesquisa e extensão na área de produção leiteira. Sua estrutura física é composta por um galpão coberto, com laterais abertas para ventilação natural, sistema de ventilação mecânica e aspersão, área ampla de cama comunitária constituída por maravalha, que é revolvida diariamente para manter aeração e higiene, além de corredores de alimentação com cochos e bebedouros. Projetado para proporcionar maior conforto térmico e bem-estar aos animais, o sistema permite a realização de estudos sobre ambiência, manejo de dejetos, qualidade do leite e desempenho zootécnico em condições controladas. No contexto educacional, serve como espaço didático para a formação prática de estudantes, enquanto na pesquisa possibilita a geração de dados aplicáveis à realidade da pecuária leiteira tropical. Além disso, sua utilização em atividades de extensão fortalece o elo com os produtores rurais, promovendo a difusão de tecnologias sustentáveis e inovadoras voltadas à melhoria da eficiência produtiva e ao bem-estar animal.;compostbarn.mp4;-0.6165;3.0089;;;
